ST,CTY,NAICS,RCPTOT,ESTAB,Total_RCPTOT,Total_ESTAB,Year
17,35,2382,338,9,488447,10856,2008
17,35,23821,163,4,207942,5156,2008
17,35,23822,0,0,243632,4899,2008
17,35,23829,0,0,23007,513,2008
17,35,2383,0,0,1002502,27217,2008
17,35,2389,922,32,814810,17245,2008
17,35,484,3845,50,2384304,27955,2008
17,35,4841,3623,46,2257333,26264,2008
17,35,48411,1274,15,658061,8879,2008
17,35,4842,0,0,118178,1580,2008
17,37,23,37340,752,5011777,98534,2008
17,37,236,14420,158,2153492,32338,2008
17,37,2361,13336,137,1992913,29421,2008
17,37,237,1086,16,127943,1440,2008
17,37,2371,72,3,5381,103,2008
17,37,2372,584,7,70955,441,2008
17,37,23721,584,7,70955,441,2008
17,37,2373,0,0,10893,174,2008
17,37,23731,0,0,10893,174,2008
17,37,2379,41,3,25023,453,2008
17,37,23799,41,3,25023,453,2008
17,37,238,21834,578,2721723,64638,2008
17,37,2381,5066,98,410033,9180,2008
17,37,2382,3741,94,488447,10856,2008
17,37,23821,1351,46,207942,5156,2008
17,37,23822,2344,40,243632,4899,2008
17,37,23829,46,8,23007,513,2008
17,37,2383,7713,216,1002502,27217,2008
17,37,2389,5314,170,814810,17245,2008
17,37,484,10203,119,2384304,27955,2008
17,37,4841,9008,101,2257333,26264,2008
17,37,48411,3866,54,658061,8879,2008
17,37,4842,0,0,118178,1580,2008
17,37,4853,979,34,406368,13552,2008
17,39,23,4488,130,5011777,98534,2008
17,39,236,1334,38,2153492,32338,2008
17,39,2361,1304,33,1992913,29421,2008
17,39,237,75,4,127943,1440,2008
17,39,2372,62,3,70955,441,2008
17,39,23721,62,3,70955,441,2008
17,39,2379,0,0,25023,453,2008
17,39,23799,0,0,25023,453,2008
17,39,238,3079,88,2721723,64638,2008
17,39,2381,384,11,410033,9180,2008
17,39,2382,758,21,488447,10856,2008
17,39,23821,149,7,207942,5156,2008
17,39,23822,609,14,243632,4899,2008
17,39,2383,1481,40,1002502,27217,2008
17,39,2389,456,16,814810,17245,2008
17,39,484,5828,53,2384304,27955,2008
17,39,4841,5705,52,2257333,26264,2008
17,39,48411,1659,22,658061,8879,2008
17,39,4842,0,0,118178,1580,2008
17,39,4853,0,0,406368,13552,2008
17,41,23,7542,214,5011777,98534,2008
17,41,236,2709,59,2153492,32338,2008
17,41,2361,2703,56,1992913,29421,2008
17,41,237,186,3,127943,1440,2008
17,41,2379,186,3,25023,453,2008
17,41,23799,186,3,25023,453,2008
17,41,238,4647,152,2721723,64638,2008
17,41,2381,1238,32,410033,9180,2008
17,41,2382,940,18,488447,10856,2008
17,41,23821,482,13,207942,5156,2008
17,41,23822,0,0,243632,4899,2008
17,41,23829,0,0,23007,513,2008
17,41,2383,1205,62,1002502,27217,2008
17,41,2389,1264,40,814810,17245,2008
17,41,484,5629,62,2384304,27955,2008
17,41,4841,5429,59,2257333,26264,2008
17,41,48411,2032,24,658061,8879,2008
17,41,4842,200,3,118178,1580,2008
17,41,4853,200,16,406368,13552,2008
17,43,23,460287,7311,5011777,98534,2008
17,43,236,211011,2447,2153492,32338,2008
17,43,2361,191955,2230,1992913,29421,2008
17,43,237,11343,97,127943,1440,2008
17,43,2371,339,15,5381,103,2008
17,43,2372,5570,23,70955,441,2008
17,43,23721,5570,23,70955,441,2008
17,43,2373,3302,30,10893,174,2008
17,43,23731,3302,30,10893,174,2008
17,43,2379,2132,29,25023,453,2008
17,43,23799,2132,29,25023,453,2008
17,43,238,237933,4767,2721723,64638,2008
17,43,2381,30901,582,410033,9180,2008
17,43,2382,40982,836,488447,10856,2008
17,43,23821,16515,413,207942,5156,2008
17,43,23822,22037,379,243632,4899,2008
17,43,23829,2430,44,23007,513,2008
17,43,2383,88704,2010,1002502,27217,2008
17,43,2389,77346,1339,814810,17245,2008
17,43,484,231840,2670,2384304,27955,2008
17,43,4841,221350,2538,2257333,26264,2008
17,43,48411,45279,648,658061,8879,2008
17,43,4842,10490,132,118178,1580,2008
17,43,4853,30635,834,406368,13552,2008
17,45,23,4618,156,5011777,98534,2008
17,45,236,1265,34,2153492,32338,2008
17,45,2361,1094,30,1992913,29421,2008
17,45,237,278,10,127943,1440,2008
17,45,2372,0,0,70955,441,2008
17,45,23721,0,0,70955,441,2008
17,45,2373,45,3,10893,174,2008
17,45,23731,45,3,10893,174,2008
17,45,2379,228,5,25023,453,2008
17,45,23799,228,5,25023,453,2008
17,45,238,3075,112,2721723,64638,2008
17,45,2381,197,14,410033,9180,2008
17,45,2382,1470,29,488447,10856,2008
17,45,23821,318,7,207942,5156,2008
17,45,23822,1112,19,243632,4899,2008
17,45,23829,0,0,23007,513,2008
17,45,2383,975,45,1002502,27217,2008
17,45,2389,433,24,814810,17245,2008
17,45,484,6736,68,2384304,27955,2008
17,45,4841,6463,66,2257333,26264,2008
17,45,48411,927,18,658061,8879,2008
17,45,4842,0,0,118178,1580,2008
17,45,4853,0,0,406368,13552,2008
17,47,23,2897,72,5011777,98534,2008
17,47,236,962,21,2153492,32338,2008
17,47,2361,863,18,1992913,29421,2008
17,47,237,0,0,127943,1440,2008
17,47,2373,0,0,10893,174,2008
17,47,23731,0,0,10893,174,2008
17,47,2379,0,0,25023,453,2008
17,47,23799,0,0,25023,453,2008
17,47,238,1812,47,2721723,64638,2008
17,47,2381,185,10,410033,9180,2008
17,47,2382,325,5,488447,10856,2008
17,47,23821,288,4,207942,5156,2008
17,47,23822,0,0,243632,4899,2008
17,47,2383,616,14,1002502,27217,2008
17,47,2389,686,18,814810,17245,2008
17,47,484,1726,18,2384304,27955,2008
17,47,4841,1726,18,2257333,26264,2008
17,47,48411,605,7,658061,8879,2008
17,47,4853,0,0,406368,13552,2008
17,49,23,15499,303,5011777,98534,2008
17,49,236,5751,76,2153492,32338,2008
17,49,2361,5329,64,1992913,29421,2008
17,49,237,1477,17,127943,1440,2008
