"ST","CTY","NAICS","Total_RCPTOT","Total_ESTAB","Year"
17,29,"237",137824,1222,2004
17,29,"2372",71492,375,2004
17,29,"23721",71492,375,2004
17,29,"2373",4117,89,2004
17,29,"23731",4117,89,2004
17,29,"2379",22994,294,2004
17,29,"23799",22994,294,2004
17,29,"238",2746549,64841,2004
17,29,"2381",482505,10300,2004
17,29,"2382",429541,9846,2004
17,29,"23821",160414,3993,2004
17,29,"23822",200613,4014,2004
17,29,"23829",13532,298,2004
17,29,"2383",1076148,27985,2004
17,29,"2389",756419,16569,2004
17,29,"484",1472722,18906,2004
17,29,"4841",1672228,21229,2004
17,29,"48411",548274,7839,2004
17,29,"4842",97526,1393,2004
17,29,"4853",294644,11060,2004
17,31,"23",5020463,96951,2004
17,31,"236",1868887,25572,2004
17,31,"2361",1708839,22752,2004
17,31,"237",137824,1222,2004
17,31,"2371",1572,48,2004
17,31,"2372",71492,375,2004
17,31,"23721",71492,375,2004
17,31,"2373",4117,89,2004
17,31,"23731",4117,89,2004
17,31,"2379",22994,294,2004
17,31,"23799",22994,294,2004
17,31,"238",2746549,64841,2004
17,31,"2381",482505,10300,2004
17,31,"2382",429541,9846,2004
17,31,"23821",160414,3993,2004
17,31,"23822",200613,4014,2004
17,31,"23829",13532,298,2004
17,31,"2383",1076148,27985,2004
17,31,"2389",756419,16569,2004
17,31,"484",1472722,18906,2004
17,31,"4841",1672228,21229,2004
17,31,"48411",548274,7839,2004
17,31,"4842",97526,1393,2004
17,31,"4853",294644,11060,2004
17,33,"23",5020463,96951,2004
17,33,"236",1868887,25572,2004
17,33,"2361",1708839,22752,2004
17,33,"237",137824,1222,2004
17,33,"2372",71492,375,2004
17,33,"23721",71492,375,2004
17,33,"2379",22994,294,2004
17,33,"23799",22994,294,2004
17,33,"238",2746549,64841,2004
17,33,"2381",482505,10300,2004
17,33,"2382",429541,9846,2004
17,33,"23821",160414,3993,2004
17,33,"23822",200613,4014,2004
17,33,"23829",13532,298,2004
17,33,"2383",1076148,27985,2004
17,33,"2389",756419,16569,2004
17,33,"484",1472722,18906,2004
17,33,"4841",1672228,21229,2004
17,33,"48411",548274,7839,2004
17,33,"4842",97526,1393,2004
17,33,"4853",294644,11060,2004
17,35,"23",5020463,96951,2004
17,35,"236",1868887,25572,2004
17,35,"2361",1708839,22752,2004
17,35,"237",137824,1222,2004
17,35,"2379",22994,294,2004
17,35,"23799",22994,294,2004
17,35,"238",2746549,64841,2004
17,35,"2381",482505,10300,2004
17,35,"2382",429541,9846,2004
17,35,"23821",160414,3993,2004
17,35,"23822",200613,4014,2004
17,35,"23829",13532,298,2004
17,35,"2383",1076148,27985,2004
17,35,"2389",756419,16569,2004
17,35,"484",1472722,18906,2004
17,35,"4841",1672228,21229,2004
17,35,"48411",548274,7839,2004
17,35,"4842",97526,1393,2004
17,37,"23",5020463,96951,2004
17,37,"236",1868887,25572,2004
17,37,"2361",1708839,22752,2004
17,37,"237",137824,1222,2004
17,37,"2371",1572,48,2004
17,37,"2372",71492,375,2004
17,37,"23721",71492,375,2004
17,37,"2373",4117,89,2004
17,37,"23731",4117,89,2004
17,37,"2379",22994,294,2004
17,37,"23799",22994,294,2004
17,37,"238",2746549,64841,2004
17,37,"2381",482505,10300,2004
17,37,"2382",429541,9846,2004
17,37,"23821",160414,3993,2004
17,37,"23822",200613,4014,2004
17,37,"23829",13532,298,2004
17,37,"2383",1076148,27985,2004
17,37,"2389",756419,16569,2004
17,37,"484",1472722,18906,2004
17,37,"4841",1672228,21229,2004
17,37,"48411",548274,7839,2004
17,37,"4842",97526,1393,2004
17,37,"4853",294644,11060,2004
17,39,"23",5020463,96951,2004
17,39,"236",1868887,25572,2004
17,39,"2361",1708839,22752,2004
17,39,"237",137824,1222,2004
17,39,"2372",71492,375,2004
17,39,"23721",71492,375,2004
17,39,"238",2746549,64841,2004
17,39,"2381",482505,10300,2004
17,39,"2382",429541,9846,2004
17,39,"23821",160414,3993,2004
17,39,"23822",200613,4014,2004
17,39,"2383",1076148,27985,2004
17,39,"2389",756419,16569,2004
17,39,"484",1472722,18906,2004
17,39,"4841",1672228,21229,2004
17,39,"48411",548274,7839,2004
17,39,"4842",97526,1393,2004
17,41,"23",5020463,96951,2004
17,41,"236",1868887,25572,2004
17,41,"2361",1708839,22752,2004
17,41,"237",137824,1222,2004
17,41,"2373",4117,89,2004
17,41,"23731",4117,89,2004
17,41,"2379",22994,294,2004
17,41,"23799",22994,294,2004
17,41,"238",2746549,64841,2004
17,41,"2381",482505,10300,2004
17,41,"2382",429541,9846,2004
17,41,"23821",160414,3993,2004
17,41,"23822",200613,4014,2004
17,41,"23829",13532,298,2004
17,41,"2383",1076148,27985,2004
17,41,"2389",756419,16569,2004
17,41,"484",1472722,18906,2004
17,41,"4841",1672228,21229,2004
17,41,"48411",548274,7839,2004
17,41,"4842",97526,1393,2004
17,41,"4853",294644,11060,2004
