"ST","NAICS","Total_RCPTOT","Total_ESTAB","Year"
30,"2372",13788,70,2007
30,"23721",13788,70,2007
30,"2373",1439,35,2007
30,"23731",1439,35,2007
30,"2379",14621,164,2007
30,"23799",14621,164,2007
30,"238",417777,8941,2007
30,"2381",74548,1388,2007
30,"2382",48139,825,2007
30,"23821",16784,354,2007
30,"23822",23124,335,2007
30,"23829",2075,36,2007
30,"2383",143897,3480,2007
30,"2389",148080,3136,2007
30,"484",210343,1959,2007
30,"4841",189772,1720,2007
30,"48411",39104,506,2007
30,"4842",17906,206,2007
30,"4853",136,5,2007
30,"2371",1170,16,2007
39,"23",4696416,98236,2007
39,"236",1455555,22397,2007
39,"2361",1281920,19350,2007
39,"237",164598,1896,2007
39,"2371",11486,292,2007
39,"2373",6274,179,2007
39,"23731",6274,179,2007
39,"2379",34113,582,2007
39,"23799",34113,582,2007
39,"238",3071355,73866,2007
39,"2381",638710,13647,2007
39,"2382",434528,10186,2007
39,"23821",151154,4480,2007
39,"23822",248128,4974,2007
39,"23829",26421,611,2007
39,"2383",1072169,29226,2007
39,"2389",925948,20807,2007
39,"484",1963471,23230,2007
39,"4841",1791910,20812,2007
39,"48411",493731,7186,2007
39,"4842",170920,2407,2007
39,"4853",49781,2519,2007
39,"2372",98705,591,2007
39,"23721",98705,591,2007
42,"23",5939879,102207,2007
42,"236",1898366,23517,2007
42,"2361",1699650,20737,2007
42,"237",165006,1550,2007
42,"2371",7715,159,2007
42,"2372",96923,513,2007
42,"23721",96923,513,2007
42,"2373",6401,118,2007
42,"23731",6401,118,2007
42,"2379",41406,547,2007
42,"23799",41406,547,2007
42,"238",3875492,77120,2007
42,"2381",630616,11423,2007
42,"2382",687505,12825,2007
42,"23821",274127,6149,2007
42,"23822",373430,5928,2007
42,"23829",36197,684,2007
42,"2383",1352053,29911,2007
42,"2389",1204554,22942,2007
42,"484",1692465,17209,2007
42,"4841",1530844,15452,2007
42,"48411",486020,5870,2007
42,"4842",160918,1749,2007
42,"4853",132146,4213,2007
17,"23",5011777,98534,2008
17,"236",2153492,32338,2008
17,"2361",1992913,29421,2008
17,"237",127943,1440,2008
17,"2371",5381,103,2008
17,"2372",70955,441,2008
17,"23721",70955,441,2008
17,"2373",10893,174,2008
17,"23731",10893,174,2008
17,"2379",25023,453,2008
17,"23799",25023,453,2008
17,"238",2721723,64638,2008
17,"2381",410033,9180,2008
17,"2382",488447,10856,2008
17,"23821",207942,5156,2008
17,"23822",243632,4899,2008
17,"23829",23007,513,2008
17,"2383",1002502,27217,2008
17,"2389",814810,17245,2008
17,"484",2384304,27955,2008
17,"4841",2257333,26264,2008
17,"48411",658061,8879,2008
17,"4842",118178,1580,2008
17,"4853",406368,13552,2008
